asin,child_name,listing,size_code,brand,current_price_usd
B08XWHGJGW,Anchor Rope Black 10012,Anchor Rope Rolled,10012,Rainier,44.99
B07P2RJGJM,Anchor Rope Black 10038,Anchor Rope Rolled,10038,Rainier,39.99
B08XW52WX3,Anchor Rope Black 15012,Anchor Rope Rolled,15012,Rainier,64.99
B07P2SXYQR,Anchor Rope Black 15038,Anchor Rope Rolled,15038,Rainier,44.99
B08XWN77ZP,Anchor Rope Black 20012,Anchor Rope Rolled,20012,Rainier,74.99
B08XW2RD84,Anchor Rope Black 30012,Anchor Rope Rolled,30012,Rainier,119.99
B07P1MWWM8,Anchor Rope Black 5014,Anchor Rope Unrolled,5014,Rainier,16.99
B07P3XYJT4,Anchor Rope Black 5038,Anchor Rope Unrolled,5038,Rainier,29.99
B0DSWF7P9K,Anchor Rope Black Reflective 10012,Anchor Rope Rolled,10012,Rainier,44.99
B0DSWFB43R,Anchor Rope Black Reflective 10038,Anchor Rope Rolled,10038,Rainier,39.99
B0B4PJVJPS,Anchor Rope Navy Blue 5014,Anchor Rope Unrolled,5014,Rainier,33.98
B09VXTSCK4,Anchor Rope Navy Blue 5038,Anchor Rope Unrolled,5038,Rainier,29.99
B0DSWDXX9C,Anchor Rope Royal Blue Reflective 10012,Anchor Rope Rolled,10012,Rainier,44.99
B0DSWDL8SR,Anchor Rope Royal Blue Reflective 10038,Anchor Rope Rolled,10038,Rainier,39.99
B0DSWDVWNS,Anchor Rope Royal Blue Reflective 15012,Anchor Rope Rolled,15012,Rainier,64.99
B0DSWKPTTL,Anchor Rope Royal Blue Reflective 15038,Anchor Rope Rolled,15038,Rainier,44.99
B0DSWFYCJK,Anchor Rope Royal Blue Reflective 20012,Anchor Rope Rolled,20012,Rainier,74.99
B0DSWFB43S,Anchor Rope Royal Blue Reflective 30012,Anchor Rope Rolled,30012,Rainier,119.99
B09VXVMX7H,Anchor Rope White/Gold 10012,Anchor Rope Rolled,10012,Rainier,44.99
B09VXVHLY5,Anchor Rope White/Gold 10038,Anchor Rope Rolled,10038,Rainier,39.99
B09VXSHCGY,Anchor Rope White/Gold 15012,Anchor Rope Rolled,15012,Rainier,64.99
B09VXT64G9,Anchor Rope White/Gold 15038,Anchor Rope Rolled,15038,Rainier,44.99
B09VXW9TFT,Anchor Rope White/Gold 20012,Anchor Rope Rolled,20012,Rainier,74.99
B09VXT84Q4,Anchor Rope White/Gold 30012,Anchor Rope Rolled,30012,Rainier,119.99
B0DSWHZ4SS,Anchor Rope White/Gold 5014,Anchor Rope Unrolled,5014,Rainier,16.99
B0DSWH9R4H,Anchor Rope White/Gold 5038,Anchor Rope Unrolled,5038,Rainier,29.99
B0DYF9984R,Arm Lift,Arm,,Skinnies,24.95
B0DYF76NDQ,Back Lift,Back,,Skinnies,24.95
B0DFPXB8PQ,Badass Affirmation Card V1,Badass,,MindMint,9.95
B0DYF98T5S,Bikini Tummy Lift,Bikini,,Skinnies,24.95
B0DXFTQYNH,Boat Flag Ensign 1218,Boat flag,1218,Rainier,14.99
B0DXFRMX8X,Boat Flag US 1218,Boat flag,1218,Rainier,14.99
B0CPJFBWMR,Boat Flag US 1624,Boat flag,1624,Rainier,16.99
B07RFHQJ16,Boat Hook,Boat Hook,,Rainier,34.99
B0DYF9MHNM,Bottom Lift,Bottom,,Skinnies,24.95
B07DN1DF1Y,Bungee Line 4-2P,Bungee Line,,Rainier,19.99
B07DN11GM3,Bungee Line 5-2P,Bungee Line,,Rainier,22.99
B07DN17TVV,Bungee Line 6-2P,Bungee Line,,Rainier,24.99
B0DFPX4146,Daily Grind Affirmation Card,Daily Grind,,MindMint,9.95
B0FC6HVXSR,Dockline Black 1512-2P,Dockline,,Rainier,19.99
B0FC6DHXTQ,Dockline Black 1512-4P,Dockline,,Rainier,29.99
B07DGR6T7P,Dockline Black 1538-2P,Dockline,,Rainier,17.99
B07DGST6Y1,Dockline Black 1538-4P,Dockline,,Rainier,29.99
B07DGMJ3GB,Dockline Black 2512-2P,Dockline,,Rainier,29.99
B07TRTB8XP,Dockline Black 3034,Dockline,3034,Rainier,39.99
B07M59DLDM,Dockline Black 5034,Dockline,5034,Rainier,54.99
B07DGRD942,Dockline Black 5058,Dockline,5058,Rainier,41.99
B09GN1H3ND,Dockline Navy Blue 1538-2P,Dockline,,Rainier,17.99
B09GN11RZP,Dockline Navy Blue 1538-4P,Dockline,,Rainier,29.99
B09GMYPHB3,Dockline Navy Blue 2512-2P,Dockline,,Rainier,29.99
B09VXTF7TN,Dockline Navy Blue 3034,Dockline,3034,Rainier,39.99
B09VXTD6M4,Dockline Navy Blue 5034,Dockline,5034,Rainier,54.99
B09VXSFQN1,Dockline Navy Blue 5058,Dockline,5058,Rainier,41.99
B09VXVG9YV,Dockline White/Gold 3034,Dockline,3034,Rainier,39.99
B09VXTZVWY,Dockline White/Gold 5034,Dockline,5034,Rainier,54.99
B09VXTT9GH,Dockline White/Gold 5058,Dockline,5058,Rainier,41.99
B07HWDQJ51,Fender Line Black 2P,Fender Line,,Rainier,12.99
B0DSWJKYB7,Fender Line Black 4P,Fender Line,,Rainier,19.99
B0DSWLZMSY,Fender Line Navy Blue 2P,Fender Line,,Rainier,12.99
B0DSWL59XG,Fender Line Royal Blue 2P,Fender Line,,Rainier,12.99
B0DSWKX3N1,Fender Line White/Gold 2P,Fender Line,,Rainier,12.99
B0DSWLKR3M,Fender Line White/Navy 2P,Fender Line,,Rainier,12.99
B0DYG5YHXQ,Inner Thigh Lift,Inner Thigh,,Skinnies,24.95
B0F9B1PM6Z,Milestone Blanket Boho,Milestone Blanket,6040,BlissnBaby,24.99
B0F2JCX6DZ,Milestone Blanket Dinosaur,Milestone Blanket,6040,BlissnBaby,24.99
B07JKN43H6,Milestone Blanket Floral,Milestone Blanket,6040,BlissnBaby,24.99
B0F9B2KCBX,Milestone Blanket Football,Milestone Blanket,6040,BlissnBaby,24.99
B0F2JG43MZ,Milestone Blanket Safari,Milestone Blanket,6040,BlissnBaby,24.99
B0F9B231LG,Milestone Blanket Stars,Milestone Blanket,6040,BlissnBaby,24.99
B0F2JDQGY8,Milestone Blanket Woodland,Milestone Blanket,6040,BlissnBaby,24.99
B0DT1K1ZPB,Neck Lift,Neck,,Skinnies,29.95
B0DFPXS6DZ,New Mom Affirmation Card,New Mom,,MindMint,9.95
B0DFQ36MK2,Parenthood Affirmation Card,Parenthood,,MindMint,9.95
B0DFMM162Z,Positive Affirmation Card,Positive,,MindMint,14.95
B0F9L7L4Z6,Scuff Eraser 3P,Scuff Eraser,,Rainier,7.99
B0DFPZCP46,Stoic Affirmation Card V1,Stoic,,MindMint,16.95
B0DYF89YZS,Swimmer Thigh Lift,Swimmer,,Skinnies,24.95
B0DYF61DN8,Thigh Lift,Thigh,,Skinnies,24.95
B0DYDPGWGX,Tummy Lift,Tummy,,Skinnies,24.95
